name,type,icon,url,steps,notice
Bugs! 아이디 기부,donation,,https://forms.gle/Yuqx45d1GaktnraU6,벅스에서 아이디를 만든다. (인당 3개 생성 가능)\n비밀번호 <strong>kiofsweat0804!</strong>로 설정한다.\n반드시 한국 번호로 본인인증을 완료한다.\n기부할 아이디를 폼에 넣고 제출하면 끝!,"· 아이디 만들 때마다 비행기 모드 ON / OFF\n· 로그아웃 후 ID 제출\n· 제출한 아이디로 재로그인 금지!\n· 개인이 사용할 아이디, 페이코 아이디는 기부 금지!\n· kissoflife530 등 연속성 있는 아이디 금지"
Genie 아이디 기부,donation,,https://docs.google.com/forms/d/e/1FAIpQLSfutKS0G6rv-kVfs3lxGCAcAzi5KrQFJhbVy_7MJW4TOSuC7A/formResponse,지니에서 아이디를 만든다. (1개 번호당 30일마다 3개 생성 가능)\n비밀번호 <strong>kiofsweat0804!</strong>로 설정한다.\n반드시 한국 번호로 본인인증을 완료한다.\n인증 후 프로필에 들어가 본인인증 완료 날짜를 확인한다\n로그아웃 후 기부할 아이디를 폼에 넣고 제출하면 끝!,· 아이디 만들 때마다 비행기 모드 ON / OFF\n· 로그아웃 후 ID 제출\n· 제출한 아이디로 재로그인 금지!\n· 개인이 사용할 아이디는 기부 금지!\n· kissoflife530 등 연속성 있는 아이디 금지
투 넘버 가이드,guide,,#,,
